No,Dataset,Customers,CS,PopSize,MaxIter,BestFitness,AvgFitness,StdFitness,WorstFitness,BestDistance,AvgDistance,FeasibleCount,TotalRuns,AvgTimeMs
1,10_Customers,10,2,20,200,0.000492,0.000421,0.000049,0.000327,101.50,120.37,30,30,7
2,10_Customers,10,2,20,500,0.000492,0.000423,0.000049,0.000337,101.50,119.68,30,30,5
3,10_Customers,10,2,20,1000,0.000492,0.000420,0.000044,0.000335,101.50,120.35,30,30,11
4,10_Customers,10,2,50,200,0.000492,0.000436,0.000042,0.000373,101.50,115.80,30,30,6
5,10_Customers,10,2,50,500,0.000492,0.000458,0.000028,0.000397,101.50,109.46,30,30,14
6,10_Customers,10,2,50,1000,0.000492,0.000440,0.000038,0.000357,101.50,114.59,30,30,27
7,10_Customers,10,2,100,200,0.000492,0.000440,0.000034,0.000380,101.50,114.19,30,30,11
8,10_Customers,10,2,100,500,0.000492,0.000448,0.000031,0.000378,101.50,112.02,30,30,26
9,10_Customers,10,2,100,1000,0.000492,0.000446,0.000035,0.000357,101.50,112.79,30,30,50
10,20_Customers,20,3,20,200,0.000344,0.000266,0.000028,0.000212,145.43,189.90,30,30,8
11,20_Customers,20,3,20,500,0.000349,0.000280,0.000038,0.000207,143.21,182.07,30,30,15
12,20_Customers,20,3,20,1000,0.000343,0.000277,0.000028,0.000212,145.85,182.03,30,30,27
13,20_Customers,20,3,50,200,0.000356,0.000290,0.000028,0.000230,140.35,174.29,30,30,16
14,20_Customers,20,3,50,500,0.000380,0.000293,0.000036,0.000237,131.58,173.24,30,30,35
15,20_Customers,20,3,50,1000,0.000358,0.000304,0.000028,0.000257,139.49,165.93,30,30,68
16,20_Customers,20,3,100,200,0.000362,0.000306,0.000029,0.000238,138.06,164.78,30,30,30
17,20_Customers,20,3,100,500,0.000380,0.000309,0.000026,0.000270,131.62,162.88,30,30,68
18,20_Customers,20,3,100,1000,0.000343,0.000296,0.000026,0.000243,145.61,169.94,30,30,133
19,30_Customers,30,4,20,200,0.000161,0.000138,0.000010,0.000116,309.89,363.38,30,30,15
20,30_Customers,30,4,20,500,0.000165,0.000141,0.000011,0.000121,303.54,356.68,30,30,32
21,30_Customers,30,4,20,1000,0.000203,0.000155,0.000013,0.000138,245.88,325.49,30,30,57
22,30_Customers,30,4,50,200,0.000175,0.000145,0.000011,0.000123,284.88,347.55,30,30,37
23,30_Customers,30,4,50,500,0.000198,0.000151,0.000014,0.000122,252.92,333.21,30,30,80
24,30_Customers,30,4,50,1000,0.000204,0.000161,0.000012,0.000140,244.94,311.97,30,30,146
25,30_Customers,30,4,100,200,0.000194,0.000156,0.000015,0.000130,257.73,322.45,30,30,69
26,30_Customers,30,4,100,500,0.000193,0.000162,0.000014,0.000134,259.47,311.20,30,30,155
27,30_Customers,30,4,100,1000,0.000201,0.000171,0.000018,0.000137,248.50,295.56,30,30,286
28,40_Customers,40,5,20,200,0.000109,0.000087,0.000007,0.000076,460.47,580.35,30,30,35
29,40_Customers,40,5,20,500,0.000108,0.000090,0.000009,0.000070,462.21,563.60,30,30,80
30,40_Customers,40,5,20,1000,0.000116,0.000093,0.000008,0.000079,432.52,539.42,30,30,149
31,40_Customers,40,5,50,200,0.000108,0.000092,0.000008,0.000074,463.17,547.53,30,30,85
32,40_Customers,40,5,50,500,0.000121,0.000097,0.000010,0.000075,411.76,521.40,30,30,187
33,40_Customers,40,5,50,1000,0.000118,0.000097,0.000010,0.000074,424.26,520.55,30,30,366
34,40_Customers,40,5,100,200,0.000114,0.000092,0.000010,0.000078,439.34,546.41,30,30,169
35,40_Customers,40,5,100,500,0.000125,0.000101,0.000011,0.000085,401.41,501.48,30,30,378
36,40_Customers,40,5,100,1000,0.000129,0.000102,0.000011,0.000082,387.68,494.57,30,30,697
37,50_Customers,50,6,20,200,0.000077,0.000066,0.000005,0.000059,646.52,759.55,30,30,55
38,50_Customers,50,6,20,500,0.000078,0.000068,0.000004,0.000061,637.35,736.26,30,30,130
39,50_Customers,50,6,20,1000,0.000089,0.000072,0.000006,0.000059,564.55,696.93,30,30,238
40,50_Customers,50,6,50,200,0.000080,0.000070,0.000004,0.000061,623.56,718.32,30,30,139
41,50_Customers,50,6,50,500,0.000085,0.000073,0.000005,0.000062,590.85,686.21,30,30,318
42,50_Customers,50,6,50,1000,0.000091,0.000078,0.000006,0.000069,549.31,645.68,30,30,580
43,50_Customers,50,6,100,200,0.000088,0.000074,0.000006,0.000064,564.97,681.96,30,30,281
44,50_Customers,50,6,100,500,0.000097,0.000078,0.000006,0.000069,514.10,647.99,30,30,630
45,50_Customers,50,6,100,1000,0.000096,0.000081,0.000006,0.000071,522.55,616.82,30,30,1164
