No,Dataset,PopSize,MaxIter,Fitness,TotalDistance,TotalEnergy,RechargeCount,Feasible,Route
1,10_Customers,20,200,0.000140,357.45,7148.96,1,YA,"V0(Depot) -> V8 -> V6 -> V7 -> V4 -> V2 -> V9 -> V10 -> CS1 -> V5 -> V3 -> V1 -> V0(Depot)"
2,10_Customers,20,500,0.000140,357.45,7148.96,1,YA,"V0(Depot) -> V8 -> V6 -> V7 -> V4 -> V2 -> V9 -> V10 -> CS1 -> V5 -> V3 -> V1 -> V0(Depot)"
3,10_Customers,20,1000,0.000140,357.45,7148.96,1,YA,"V0(Depot) -> V8 -> V6 -> V7 -> V4 -> V2 -> V9 -> V10 -> CS1 -> V5 -> V3 -> V1 -> V0(Depot)"
4,10_Customers,50,200,0.000140,357.45,7148.96,1,YA,"V0(Depot) -> V8 -> V6 -> V7 -> V4 -> V2 -> V9 -> V10 -> CS1 -> V5 -> V3 -> V1 -> V0(Depot)"
5,10_Customers,50,500,0.000140,357.45,7148.96,1,YA,"V0(Depot) -> V1 -> V3 -> V5 -> CS1 -> V10 -> V9 -> V2 -> V4 -> V7 -> V6 -> V8 -> V0(Depot)"
6,10_Customers,50,1000,0.000140,357.45,7148.96,1,YA,"V0(Depot) -> V8 -> V6 -> V7 -> V4 -> V2 -> V9 -> V10 -> CS1 -> V5 -> V3 -> V1 -> V0(Depot)"
7,10_Customers,100,200,0.000140,357.45,7148.96,1,YA,"V0(Depot) -> V1 -> V3 -> V5 -> CS1 -> V10 -> V9 -> V2 -> V4 -> V7 -> V6 -> V8 -> V0(Depot)"
8,10_Customers,100,500,0.000140,357.45,7148.96,1,YA,"V0(Depot) -> V8 -> V6 -> V7 -> V4 -> V2 -> V9 -> V10 -> CS1 -> V5 -> V3 -> V1 -> V0(Depot)"
9,10_Customers,100,1000,0.000140,357.45,7148.96,1,YA,"V0(Depot) -> V8 -> V6 -> V7 -> V4 -> V2 -> V9 -> V10 -> CS1 -> V5 -> V3 -> V1 -> V0(Depot)"
10,20_Customers,20,200,0.000078,637.04,12740.85,3,YA,"V0(Depot) -> V10 -> V17 -> V7 -> V4 -> V9 -> CS1 -> V19 -> V18 -> V14 -> V20 -> V5 -> CS3 -> V1 -> V15 -> V6 -> V11 -> V13 -> V2 -> CS1 -> V3 -> V8 -> V12 -> V16 -> V0(Depot)"
11,20_Customers,20,500,0.000078,637.50,12749.98,3,YA,"V0(Depot) -> V3 -> V4 -> V8 -> V13 -> V16 -> V1 -> V9 -> CS1 -> V15 -> V11 -> V6 -> V5 -> V20 -> V19 -> CS3 -> V18 -> V14 -> V2 -> V12 -> V7 -> CS1 -> V10 -> V17 -> V0(Depot)"
12,20_Customers,20,1000,0.000085,585.94,11718.71,3,YA,"V0(Depot) -> V10 -> V17 -> V7 -> V9 -> V4 -> V3 -> V8 -> V12 -> V2 -> CS2 -> V16 -> V1 -> V6 -> V11 -> V15 -> CS1 -> V18 -> V14 -> V20 -> V19 -> V5 -> CS3 -> V13 -> V0(Depot)"
13,20_Customers,50,200,0.000087,576.76,11535.25,3,YA,"V0(Depot) -> V10 -> V17 -> V3 -> V8 -> V4 -> V7 -> V9 -> CS1 -> V19 -> V18 -> V14 -> V20 -> V5 -> CS3 -> V11 -> V6 -> V15 -> V12 -> V16 -> CS3 -> V1 -> V2 -> V13 -> V0(Depot)"
14,20_Customers,50,500,0.000098,512.39,10247.81,2,YA,"V0(Depot) -> V14 -> V18 -> V20 -> V19 -> V5 -> V16 -> V1 -> CS3 -> V2 -> V13 -> V7 -> V6 -> V11 -> V15 -> CS1 -> V9 -> V4 -> V12 -> V8 -> V3 -> V17 -> V10 -> V0(Depot)"
15,20_Customers,50,1000,0.000096,522.03,10440.52,2,YA,"V0(Depot) -> V7 -> V11 -> V15 -> V6 -> V1 -> CS3 -> V20 -> V14 -> V18 -> V19 -> V5 -> V16 -> V2 -> V13 -> CS1 -> V9 -> V4 -> V12 -> V8 -> V3 -> V10 -> V17 -> V0(Depot)"
16,20_Customers,100,200,0.000095,524.05,10481.04,2,YA,"V0(Depot) -> V10 -> V14 -> V18 -> V20 -> V19 -> V16 -> V1 -> V2 -> CS1 -> V15 -> V11 -> V6 -> V5 -> V13 -> CS1 -> V9 -> V7 -> V4 -> V3 -> V8 -> V12 -> V17 -> V0(Depot)"
17,20_Customers,100,500,0.000099,502.77,10055.36,2,YA,"V0(Depot) -> V10 -> V17 -> V3 -> V8 -> V12 -> V4 -> V9 -> V7 -> V13 -> CS1 -> V15 -> V11 -> V6 -> V5 -> V20 -> V19 -> CS3 -> V1 -> V2 -> V16 -> V18 -> V14 -> V0(Depot)"
18,20_Customers,100,1000,0.000103,486.65,9733.00,2,YA,"V0(Depot) -> V14 -> V18 -> V19 -> V20 -> V5 -> CS3 -> V13 -> V2 -> V1 -> V16 -> V6 -> V11 -> V15 -> CS1 -> V9 -> V7 -> V4 -> V12 -> V8 -> V3 -> V10 -> V17 -> V0(Depot)"
19,30_Customers,20,200,0.000052,963.88,19277.67,4,YA,"V0(Depot) -> V1 -> V29 -> V23 -> V30 -> V19 -> CS4 -> V2 -> V10 -> V9 -> V18 -> V28 -> V4 -> V11 -> V27 -> CS4 -> V17 -> V16 -> V21 -> V12 -> V6 -> V26 -> V8 -> V7 -> CS2 -> V14 -> V24 -> V3 -> V15 -> V5 -> CS1 -> V13 -> V20 -> V22 -> V25 -> V0(Depot)"
20,30_Customers,20,500,0.000051,977.30,19546.03,5,YA,"V0(Depot) -> V9 -> V18 -> V25 -> V4 -> V16 -> CS4 -> V21 -> V3 -> V5 -> CS1 -> V13 -> V20 -> V29 -> V15 -> V22 -> V24 -> V7 -> V14 -> CS1 -> V23 -> V8 -> V26 -> V6 -> V12 -> V1 -> CS1 -> V30 -> V2 -> V10 -> V28 -> V11 -> V17 -> CS4 -> V19 -> V27 -> V0(Depot)"
