No,Dataset,PopSize,MaxIter,Fitness,TotalDistance,TotalEnergy,RechargeCount,Feasible,Route
24,30_Customers,50,1000,0.000204,244.94,4898.88,5,YA,"V0(Depot) -> V1 -> V12 -> V4 -> CS1 -> V2 -> V8 -> V17 -> CS4 -> V29 -> V3 -> V15 -> V11 -> V19 -> V16 -> V26 -> CS1 -> V5 -> V18 -> V28 -> V9 -> V20 -> V21 -> V27 -> CS1 -> V7 -> V30 -> V14 -> V24 -> V10 -> V6 -> V25 -> CS4 -> V22 -> V23 -> V13 -> V0(Depot)"
25,30_Customers,100,200,0.000194,257.73,5154.61,5,YA,"V0(Depot) -> V27 -> V18 -> V20 -> V9 -> V28 -> V21 -> CS1 -> V16 -> V1 -> V24 -> V14 -> V7 -> CS1 -> V22 -> V23 -> V6 -> V10 -> V4 -> CS1 -> V8 -> V2 -> V25 -> V17 -> CS4 -> V29 -> V3 -> V19 -> V15 -> V11 -> V5 -> V26 -> CS1 -> V30 -> V13 -> V12 -> V0(Depot)"
26,30_Customers,100,500,0.000193,259.47,5189.35,6,YA,"V0(Depot) -> V22 -> V12 -> V6 -> V17 -> CS4 -> V8 -> V2 -> V25 -> V29 -> V3 -> V19 -> V15 -> V11 -> CS3 -> V5 -> V20 -> V26 -> CS1 -> V14 -> V7 -> V21 -> V30 -> V24 -> CS1 -> V18 -> V28 -> V9 -> V27 -> V4 -> CS1 -> V23 -> V13 -> V10 -> CS1 -> V1 -> V16 -> V0(Depot)"
27,30_Customers,100,1000,0.000201,248.50,4970.05,5,YA,"V0(Depot) -> V16 -> V23 -> V13 -> V30 -> V14 -> CS1 -> V20 -> V9 -> V28 -> V18 -> V4 -> CS1 -> V19 -> V1 -> V2 -> V17 -> V8 -> CS4 -> V25 -> V12 -> V22 -> V6 -> V10 -> V27 -> V26 -> CS1 -> V11 -> V3 -> V29 -> V15 -> V5 -> CS1 -> V21 -> V7 -> V24 -> V0(Depot)"
28,40_Customers,20,200,0.000109,460.47,9209.42,10,YA,"V0(Depot) -> V23 -> V28 -> V38 -> V37 -> V34 -> CS4 -> V9 -> V16 -> V39 -> CS2 -> V30 -> V1 -> V10 -> V4 -> CS4 -> V32 -> V24 -> CS4 -> V19 -> V11 -> V12 -> V33 -> CS2 -> V18 -> V17 -> V20 -> V15 -> CS2 -> V40 -> V13 -> V35 -> V26 -> CS2 -> V14 -> V25 -> V36 -> V5 -> CS4 -> V31 -> V7 -> V2 -> V3 -> CS5 -> V6 -> V8 -> V21 -> V22 -> V27 -> CS5 -> V29 -> V0(Depot)"
29,40_Customers,20,500,0.000108,462.21,9244.24,9,YA,"V0(Depot) -> V21 -> V7 -> V3 -> V23 -> V12 -> V11 -> CS2 -> V37 -> V14 -> V10 -> V4 -> CS4 -> V34 -> V26 -> V8 -> CS3 -> V40 -> V6 -> V27 -> V36 -> CS4 -> V24 -> V2 -> V32 -> V1 -> CS4 -> V17 -> V35 -> V30 -> V38 -> V28 -> CS4 -> V9 -> V22 -> V25 -> CS5 -> V33 -> V39 -> V18 -> V16 -> V20 -> V13 -> CS2 -> V15 -> V19 -> V5 -> CS4 -> V31 -> V29 -> V0(Depot)"
30,40_Customers,20,1000,0.000116,432.52,8650.35,8,YA,"V0(Depot) -> V7 -> V22 -> V29 -> CS1 -> V27 -> V36 -> V14 -> V13 -> CS2 -> V20 -> V34 -> V4 -> V10 -> V28 -> V5 -> V1 -> CS4 -> V31 -> V3 -> V32 -> V23 -> CS4 -> V6 -> V11 -> CS2 -> V30 -> V37 -> V25 -> V12 -> CS2 -> V39 -> V18 -> V19 -> V26 -> V8 -> V40 -> CS1 -> V33 -> V16 -> V15 -> V35 -> V17 -> CS4 -> V38 -> V9 -> V2 -> V24 -> V21 -> V0(Depot)"
31,40_Customers,50,200,0.000108,463.17,9263.49,10,YA,"V0(Depot) -> V21 -> V29 -> V2 -> V3 -> CS1 -> V6 -> V40 -> V16 -> V34 -> CS4 -> V37 -> V24 -> V36 -> V1 -> CS4 -> V4 -> V35 -> CS2 -> V11 -> V25 -> V13 -> CS2 -> V31 -> V32 -> V23 -> V9 -> V28 -> V38 -> CS4 -> V39 -> V18 -> V30 -> V33 -> CS2 -> V26 -> V19 -> V27 -> V8 -> CS1 -> V22 -> V10 -> CS4 -> V17 -> V20 -> V15 -> V5 -> V14 -> CS2 -> V12 -> V7 -> V0(Depot)"
32,40_Customers,50,500,0.000121,411.76,8235.17,9,YA,"V0(Depot) -> V29 -> V32 -> V24 -> CS4 -> V4 -> V23 -> V9 -> V28 -> CS4 -> V20 -> V40 -> V13 -> CS2 -> V39 -> V18 -> V19 -> V33 -> V11 -> V26 -> CS2 -> V16 -> V30 -> V37 -> V36 -> V10 -> CS4 -> V3 -> V2 -> V31 -> V27 -> CS3 -> V12 -> V6 -> V8 -> CS1 -> V25 -> V5 -> V1 -> V38 -> V34 -> CS4 -> V35 -> V15 -> V17 -> V14 -> CS2 -> V7 -> V22 -> V21 -> V0(Depot)"
33,40_Customers,50,1000,0.000118,424.26,8485.17,9,YA,"V0(Depot) -> V32 -> V5 -> V28 -> V39 -> CS2 -> V27 -> V31 -> V22 -> V25 -> CS3 -> V12 -> V33 -> V16 -> V37 -> V1 -> CS4 -> V30 -> V11 -> V14 -> V13 -> CS2 -> V26 -> V18 -> V35 -> V20 -> V15 -> V34 -> CS4 -> V24 -> V9 -> V23 -> V3 -> CS1 -> V10 -> V4 -> CS4 -> V38 -> V36 -> V17 -> V19 -> CS2 -> V40 -> V6 -> V8 -> CS1 -> V2 -> V29 -> V7 -> V21 -> V0(Depot)"
34,40_Customers,100,200,0.000114,439.34,8786.88,9,YA,"V0(Depot) -> V31 -> V25 -> V28 -> V1 -> V10 -> V4 -> CS4 -> V18 -> V13 -> V37 -> V17 -> CS4 -> V32 -> V2 -> V24 -> CS4 -> V20 -> V14 -> V35 -> V15 -> V34 -> CS4 -> V3 -> V9 -> V36 -> V5 -> CS4 -> V16 -> V19 -> V33 -> CS2 -> V38 -> V7 -> V22 -> CS5 -> V27 -> V30 -> V12 -> V11 -> V39 -> V26 -> CS2 -> V6 -> V40 -> V8 -> CS1 -> V23 -> V29 -> V21 -> V0(Depot)"
35,40_Customers,100,500,0.000125,401.41,8028.29,8,YA,"V0(Depot) -> V21 -> V22 -> V29 -> V31 -> V7 -> CS5 -> V32 -> V16 -> V18 -> CS2 -> V12 -> V40 -> V28 -> CS4 -> V24 -> V9 -> V36 -> V37 -> V30 -> V14 -> CS2 -> V39 -> V20 -> V1 -> V10 -> V4 -> CS4 -> V26 -> V19 -> V35 -> V15 -> V17 -> V34 -> V38 -> CS4 -> V5 -> V23 -> V25 -> CS1 -> V8 -> V6 -> V27 -> V33 -> V11 -> V13 -> CS2 -> V2 -> V3 -> V0(Depot)"
36,40_Customers,100,1000,0.000129,387.68,7753.50,8,YA,"V0(Depot) -> V21 -> V23 -> V2 -> V32 -> V24 -> V1 -> CS4 -> V34 -> V35 -> V15 -> V33 -> V11 -> CS2 -> V18 -> V12 -> V40 -> V6 -> CS1 -> V7 -> V9 -> V38 -> CS4 -> V30 -> V28 -> V10 -> V4 -> CS4 -> V36 -> V3 -> V25 -> V31 -> V22 -> CS1 -> V8 -> V27 -> V5 -> V37 -> V16 -> CS2 -> V39 -> V13 -> V14 -> V20 -> V17 -> V19 -> V26 -> CS2 -> V29 -> V0(Depot)"
37,50_Customers,20,200,0.000077,646.52,12930.47,14,YA,"V0(Depot) -> V2 -> V10 -> V11 -> CS6 -> V17 -> V19 -> CS1 -> V29 -> V42 -> V45 -> CS6 -> V50 -> V47 -> V9 -> V46 -> V6 -> CS3 -> V30 -> V23 -> V1 -> V3 -> V20 -> CS1 -> V36 -> V21 -> V12 -> CS2 -> V44 -> V34 -> V25 -> V38 -> V48 -> V39 -> CS5 -> V49 -> V31 -> V37 -> V41 -> CS1 -> V13 -> CS5 -> V18 -> V22 -> V28 -> CS6 -> V26 -> V32 -> V40 -> V4 -> V5 -> CS1 -> V7 -> V8 -> CS1 -> V14 -> V15 -> V16 -> CS5 -> V24 -> V27 -> V33 -> CS1 -> V35 -> V43 -> V0(Depot)"
38,50_Customers,20,500,0.000078,637.35,12747.04,13,YA,"V0(Depot) -> V40 -> V7 -> V48 -> CS2 -> V18 -> V12 -> V37 -> V8 -> V10 -> CS6 -> V6 -> V24 -> V39 -> V16 -> V34 -> CS3 -> V9 -> V26 -> V13 -> CS5 -> V23 -> V46 -> V38 -> CS2 -> V5 -> V44 -> V28 -> CS6 -> V27 -> CS2 -> V29 -> V35 -> CS1 -> V41 -> V21 -> V20 -> V1 -> V22 -> CS2 -> V31 -> V19 -> V3 -> V33 -> V47 -> CS2 -> V2 -> V49 -> V50 -> V25 -> V32 -> V45 -> CS5 -> V15 -> V14 -> CS1 -> V17 -> V36 -> V11 -> V30 -> CS3 -> V4 -> V42 -> V43 -> V0(Depot)"
39,50_Customers,20,1000,0.000089,564.55,11290.90,12,YA,"V0(Depot) -> V29 -> V40 -> V32 -> V45 -> V50 -> CS2 -> V35 -> V36 -> CS1 -> V49 -> V12 -> V18 -> CS2 -> V9 -> V27 -> V3 -> CS1 -> V17 -> V15 -> V39 -> V16 -> CS5 -> V38 -> V13 -> V48 -> V28 -> V26 -> V46 -> CS5 -> V30 -> V23 -> V20 -> V33 -> CS1 -> V10 -> CS5 -> V44 -> V41 -> V31 -> V5 -> V21 -> CS1 -> V4 -> V7 -> V11 -> V8 -> V6 -> V24 -> CS3 -> V2 -> V34 -> V25 -> V1 -> V22 -> V47 -> CS2 -> V14 -> V19 -> V37 -> CS1 -> V42 -> V43 -> V0(Depot)"
40,50_Customers,50,200,0.000080,623.56,12471.16,13,YA,"V0(Depot) -> V34 -> V37 -> V20 -> V3 -> V33 -> CS1 -> V5 -> V14 -> V12 -> V30 -> CS2 -> V41 -> V44 -> V40 -> CS6 -> V24 -> V16 -> V48 -> V13 -> V46 -> CS5 -> V32 -> V38 -> V23 -> V15 -> CS3 -> V45 -> V10 -> CS2 -> V1 -> V18 -> V49 -> V47 -> V39 -> CS5 -> V25 -> V50 -> V9 -> CS2 -> V4 -> V6 -> CS3 -> V11 -> V22 -> V27 -> CS2 -> V7 -> V17 -> V31 -> V21 -> CS1 -> V36 -> V42 -> V43 -> V19 -> CS1 -> V2 -> V8 -> V28 -> CS6 -> V26 -> V35 -> V29 -> V0(Depot)"
41,50_Customers,50,500,0.000085,590.85,11816.98,13,YA,"V0(Depot) -> V29 -> V44 -> V30 -> CS2 -> V11 -> V7 -> V40 -> V32 -> CS5 -> V6 -> V12 -> V27 -> V9 -> V47 -> V18 -> CS2 -> V31 -> V45 -> V8 -> CS3 -> V4 -> V37 -> V19 -> CS1 -> V20 -> V33 -> V5 -> V36 -> V17 -> V3 -> CS1 -> V35 -> V49 -> CS5 -> V28 -> V38 -> V34 -> V26 -> V10 -> CS6 -> V25 -> V2 -> V21 -> CS1 -> V24 -> V48 -> CS5 -> V46 -> V16 -> V50 -> V1 -> CS2 -> V15 -> V39 -> V13 -> CS2 -> V14 -> V22 -> V23 -> CS2 -> V41 -> V42 -> V43 -> V0(Depot)"
42,50_Customers,50,1000,0.000091,549.31,10986.19,12,YA,"V0(Depot) -> V4 -> V29 -> V35 -> V38 -> CS5 -> V6 -> V34 -> V1 -> V18 -> CS2 -> V31 -> V43 -> CS1 -> V20 -> V33 -> V14 -> V12 -> V27 -> V24 -> V39 -> CS5 -> V23 -> V2 -> V50 -> V49 -> CS3 -> V22 -> V5 -> CS1 -> V8 -> V11 -> V40 -> V32 -> CS5 -> V46 -> V16 -> V25 -> V45 -> V28 -> CS5 -> V26 -> V7 -> V13 -> CS5 -> V15 -> V30 -> V37 -> V21 -> V3 -> CS1 -> V41 -> V44 -> V10 -> V48 -> CS5 -> V47 -> V9 -> V17 -> V19 -> CS1 -> V36 -> V42 -> V0(Depot)"
43,50_Customers,100,200,0.000088,564.97,11299.46,12,YA,"V0(Depot) -> V13 -> V38 -> V48 -> CS3 -> V36 -> V19 -> CS1 -> V27 -> V22 -> V14 -> CS1 -> V17 -> V2 -> V46 -> V10 -> CS6 -> V32 -> V11 -> V44 -> V47 -> V30 -> CS2 -> V8 -> V12 -> V18 -> CS2 -> V31 -> V6 -> V23 -> V15 -> V9 -> CS3 -> V50 -> V34 -> V26 -> V7 -> V49 -> V24 -> CS3 -> V1 -> V39 -> CS2 -> V37 -> V4 -> V5 -> V21 -> V20 -> V33 -> V3 -> CS1 -> V25 -> V40 -> CS6 -> V28 -> V45 -> V16 -> CS2 -> V41 -> V42 -> V29 -> V35 -> V43 -> V0(Depot)"
44,50_Customers,100,500,0.000097,514.10,10281.98,11,YA,"V0(Depot) -> V4 -> V29 -> V43 -> V35 -> V8 -> CS3 -> V31 -> V30 -> V9 -> V47 -> CS2 -> V32 -> V40 -> CS3 -> V50 -> V23 -> V15 -> V27 -> V12 -> CS2 -> V37 -> V25 -> V26 -> V10 -> CS5 -> V34 -> V39 -> CS2 -> V14 -> V24 -> V28 -> CS6 -> V45 -> V48 -> V16 -> V49 -> V46 -> V18 -> V22 -> V1 -> CS2 -> V6 -> V44 -> V36 -> V5 -> V3 -> V20 -> CS1 -> V21 -> V41 -> V19 -> V33 -> CS1 -> V7 -> V11 -> V38 -> V13 -> CS5 -> V2 -> V17 -> V42 -> V0(Depot)"
45,50_Customers,100,1000,0.000096,522.55,10450.99,11,YA,"V0(Depot) -> V7 -> V29 -> V40 -> V45 -> V48 -> CS5 -> V39 -> V49 -> V32 -> V28 -> V10 -> V38 -> CS5 -> V12 -> V47 -> V1 -> V18 -> CS2 -> V44 -> V42 -> V26 -> CS6 -> V13 -> V16 -> V6 -> V34 -> V2 -> V46 -> V50 -> V15 -> V30 -> CS3 -> V9 -> V27 -> V20 -> V3 -> CS1 -> V35 -> V17 -> CS1 -> V14 -> V23 -> CS2 -> V21 -> V19 -> V36 -> V4 -> V5 -> CS1 -> V8 -> V11 -> V22 -> CS2 -> V24 -> V25 -> V31 -> V33 -> CS4 -> V37 -> V41 -> V43 -> V0(Depot)"
