No,Dataset,PopSize,MaxIter,Fitness,TotalDistance,TotalEnergy,RechargeCount,Feasible,Route
20,30_Customers,20,500,0.000077,646.43,12928.59,4,YA,"V0(Depot) -> V19 -> V2 -> V16 -> V10 -> V15 -> V22 -> CS1 -> V8 -> V26 -> V6 -> V12 -> V7 -> V5 -> V1 -> V24 -> V14 -> CS1 -> V13 -> V20 -> V23 -> V30 -> V29 -> CS1 -> V3 -> V25 -> V9 -> V18 -> V11 -> V28 -> V21 -> V17 -> V27 -> CS4 -> V4 -> V0(Depot)"
21,30_Customers,20,1000,0.000083,603.05,12060.92,3,YA,"V0(Depot) -> V19 -> V2 -> V16 -> V21 -> V18 -> V9 -> V25 -> V11 -> V28 -> CS4 -> V15 -> V22 -> V24 -> V14 -> V13 -> V20 -> V23 -> V30 -> V29 -> CS1 -> V1 -> V7 -> V5 -> V8 -> V26 -> V12 -> V6 -> V3 -> V10 -> V17 -> V27 -> CS4 -> V4 -> V0(Depot)"
22,30_Customers,50,200,0.000078,639.54,12790.88,3,YA,"V0(Depot) -> V10 -> V11 -> V18 -> V9 -> V25 -> V28 -> V21 -> V16 -> V27 -> CS4 -> V2 -> V4 -> V17 -> V15 -> V3 -> V22 -> V24 -> CS2 -> V14 -> V1 -> V7 -> V8 -> V26 -> V6 -> V12 -> V5 -> V20 -> V13 -> CS1 -> V29 -> V23 -> V30 -> V19 -> V0(Depot)"
23,30_Customers,50,500,0.000083,599.96,11999.27,3,YA,"V0(Depot) -> V19 -> V2 -> V16 -> V17 -> V10 -> V28 -> V11 -> V25 -> V15 -> V4 -> V27 -> CS4 -> V21 -> V18 -> V9 -> V3 -> V22 -> V24 -> V14 -> CS1 -> V1 -> V7 -> V12 -> V6 -> V26 -> V8 -> V5 -> V13 -> V20 -> CS1 -> V30 -> V23 -> V29 -> V0(Depot)"
24,30_Customers,50,1000,0.000086,584.31,11686.30,3,YA,"V0(Depot) -> V4 -> V10 -> V28 -> V11 -> V18 -> V9 -> V25 -> V15 -> V17 -> V27 -> CS4 -> V21 -> V16 -> V2 -> V19 -> V30 -> V29 -> V23 -> V20 -> V13 -> CS1 -> V14 -> V1 -> V7 -> V5 -> V8 -> V26 -> V12 -> V6 -> V3 -> V22 -> V24 -> CS2 -> V0(Depot)"
25,30_Customers,100,200,0.000076,655.71,13114.27,3,YA,"V0(Depot) -> V24 -> V7 -> V5 -> V22 -> V15 -> V4 -> V17 -> V27 -> CS4 -> V19 -> V2 -> V16 -> V21 -> V10 -> V28 -> V9 -> V18 -> V11 -> CS4 -> V25 -> V3 -> V6 -> V26 -> V8 -> V12 -> V1 -> V14 -> CS1 -> V13 -> V20 -> V29 -> V23 -> V30 -> V0(Depot)"
26,30_Customers,100,500,0.000083,605.83,12116.54,3,YA,"V0(Depot) -> V15 -> V11 -> V18 -> V9 -> V25 -> V3 -> V22 -> V24 -> CS2 -> V5 -> V8 -> V26 -> V6 -> V12 -> V7 -> V1 -> V14 -> V13 -> V20 -> CS1 -> V30 -> V23 -> V29 -> V4 -> V10 -> V28 -> V21 -> V16 -> V17 -> V27 -> CS4 -> V2 -> V19 -> V0(Depot)"
27,30_Customers,100,1000,0.000087,577.79,11555.80,2,YA,"V0(Depot) -> V4 -> V15 -> V22 -> V24 -> V14 -> V29 -> V30 -> V23 -> V20 -> V13 -> CS1 -> V1 -> V7 -> V5 -> V8 -> V26 -> V12 -> V6 -> V3 -> V25 -> CS4 -> V2 -> V16 -> V21 -> V9 -> V18 -> V11 -> V28 -> V10 -> V17 -> V27 -> V19 -> V0(Depot)"
28,40_Customers,20,200,0.000054,917.65,18352.98,4,YA,"V0(Depot) -> V27 -> V34 -> V31 -> V3 -> V2 -> V39 -> V25 -> CS4 -> V35 -> V4 -> V11 -> V7 -> V8 -> V23 -> V22 -> CS3 -> V36 -> V9 -> V17 -> V37 -> V16 -> V33 -> V28 -> V15 -> V18 -> V6 -> CS2 -> V21 -> V29 -> V5 -> V1 -> V10 -> V24 -> V12 -> CS4 -> V13 -> V38 -> V19 -> V26 -> V32 -> V14 -> V40 -> V20 -> V30 -> V0(Depot)"
29,40_Customers,20,500,0.000071,705.97,14119.38,3,YA,"V0(Depot) -> V32 -> V14 -> V19 -> V26 -> V16 -> V33 -> V28 -> V17 -> V9 -> V35 -> V4 -> CS2 -> V8 -> V36 -> V18 -> V15 -> V23 -> V22 -> V37 -> CS1 -> V2 -> V27 -> V34 -> V10 -> V29 -> V3 -> V31 -> V11 -> V7 -> CS5 -> V6 -> V21 -> V5 -> V24 -> V1 -> V39 -> V25 -> V30 -> V38 -> V13 -> V12 -> V20 -> V40 -> V0(Depot)"
