Iterasi,P20_G200_10_Customers,P20_G500_10_Customers,P20_G1000_10_Customers,P50_G200_10_Customers,P50_G500_10_Customers,P50_G1000_10_Customers,P100_G200_10_Customers,P100_G500_10_Customers,P100_G1000_10_Customers,P20_G200_20_Customers,P20_G500_20_Customers,P20_G1000_20_Customers,P50_G200_20_Customers,P50_G500_20_Customers,P50_G1000_20_Customers,P100_G200_20_Customers,P100_G500_20_Customers,P100_G1000_20_Customers,P20_G200_30_Customers,P20_G500_30_Customers,P20_G1000_30_Customers,P50_G200_30_Customers,P50_G500_30_Customers,P50_G1000_30_Customers,P100_G200_30_Customers,P100_G500_30_Customers,P100_G1000_30_Customers,P20_G200_40_Customers,P20_G500_40_Customers,P20_G1000_40_Customers,P50_G200_40_Customers,P50_G500_40_Customers,P50_G1000_40_Customers,P100_G200_40_Customers,P100_G500_40_Customers,P100_G1000_40_Customers,P20_G200_50_Customers,P20_G500_50_Customers,P20_G1000_50_Customers,P50_G200_50_Customers,P50_G500_50_Customers,P50_G1000_50_Customers,P100_G200_50_Customers,P100_G500_50_Customers,P100_G1000_50_Customers
11,0.000481597922,0.000478697143,0.000475516979,0.000488231553,0.000483981874,0.000483107547,0.000488811530,0.000486644708,0.000485608596,0.000297933130,0.000286064066,0.000296543750,0.000319475843,0.000330374926,0.000325519880,0.000345099434,0.000349202125,0.000340632922,0.000141301309,0.000140148079,0.000142406827,0.000159325607,0.000156093795,0.000154942232,0.000169617970,0.000162773743,0.000166105769,0.000083629213,0.000081926054,0.000083746016,0.000093807211,0.000090390657,0.000091601044,0.000100360081,0.000099057864,0.000097628978,0.000063045039,0.000063347450,0.000064016283,0.000067370784,0.000067385613,0.000068422308,0.000071420652,0.000072774650,0.000071244445
12,0.000482355688,0.000478707600,0.000476391153,0.000488231553,0.000484469535,0.000483931365,0.000489299191,0.000487092493,0.000485608596,0.000302655951,0.000289294404,0.000297953011,0.000324023542,0.000335093599,0.000329064406,0.000350186300,0.000352383671,0.000345912766,0.000144049772,0.000141555531,0.000144418316,0.000162581835,0.000162662869,0.000157944223,0.000172728168,0.000166302058,0.000168902233,0.000084565961,0.000083839689,0.000085235267,0.000095097626,0.000091810495,0.000092187716,0.000102139601,0.000100630947,0.000099253423,0.000063815538,0.000064027682,0.000064579243,0.000068251583,0.000068668120,0.000069617723,0.000073597535,0.000073776987,0.000072763031
13,0.000482355688,0.000478901397,0.000477377576,0.000488271430,0.000484479992,0.000483931365,0.000489313947,0.000487418193,0.000485608596,0.000309233050,0.000291895237,0.000302965275,0.000329585609,0.000342193204,0.000332078232,0.000354801240,0.000356707023,0.000351203666,0.000148110453,0.000142167876,0.000146734284,0.000165510583,0.000164611343,0.000161540830,0.000176144033,0.000168403491,0.000171483206,0.000085093459,0.000084842428,0.000085732162,0.000096103720,0.000092474014,0.000093381118,0.000103975953,0.000102536135,0.000100672625,0.000064580927,0.000064287516,0.000064921660,0.000068897594,0.000069360615,0.000070254716,0.000074654861,0.000074469025,0.000073735319
14,0.000482380644,0.000479799117,0.000477672084,0.000488729672,0.000484479992,0.000483931365,0.000490123009,0.000487733435,0.000485608596,0.000311275567,0.000294531268,0.000305497087,0.000332780476,0.000345290928,0.000336267470,0.000359256806,0.000363699398,0.000358417371,0.000150208396,0.000143250301,0.000148101523,0.000168680320,0.000167659366,0.000162717443,0.000178967916,0.000171158318,0.000174209348,0.000086555734,0.000085274961,0.000086468095,0.000097658081,0.000093674358,0.000094914266,0.000105578878,0.000103482030,0.000101864975,0.000065094320,0.000064862894,0.000065803132,0.000069281121,0.000070235739,0.000071245713,0.000076032381,0.000075140237,0.000074739651
15,0.000482828429,0.000481179875,0.000478635494,0.000488729672,0.000484479992,0.000484744726,0.000490123009,0.000488048678,0.000485608596,0.000315277127,0.000299212935,0.000309024102,0.000336534476,0.000349646849,0.000340877374,0.000363673710,0.000365733284,0.000363535656,0.000152178083,0.000144339171,0.000150336984,0.000171239292,0.000170160700,0.000164794663,0.000182258114,0.000175238042,0.000176316220,0.000087006428,0.000085936952,0.000087078141,0.000098445127,0.000094984721,0.000096817756,0.000107998019,0.000105446677,0.000103135151,0.000065835882,0.000065245865,0.000066134445,0.000070469891,0.000071343674,0.000072822886,0.000076909402,0.000076353331,0.000076001784
16,0.000482838886,0.000481348716,0.000479789054,0.000489044914,0.000484967654,0.000484744726,0.000490123009,0.000488048678,0.000485923838,0.000316029049,0.000302595370,0.000311666508,0.000339406832,0.000354536081,0.000345495611,0.000367121480,0.000370545070,0.000367087279,0.000154918413,0.000146808712,0.000151377120,0.000173631181,0.000172765090,0.000167880429,0.000185396373,0.000177919005,0.000178088851,0.000088083341,0.000086865478,0.000087780416,0.000098966161,0.000096017729,0.000097884651,0.000110170602,0.000106371869,0.000104536324,0.000066814857,0.000065624400,0.000066552646,0.000071435398,0.000071791381,0.000073703595,0.000077743976,0.000077565138,0.000077499151
17,0.000482838886,0.000482147320,0.000479789054,0.000489044914,0.000484978110,0.000484744726,0.000490137765,0.000488048678,0.000487052441,0.000317434601,0.000305164696,0.000315960170,0.000341343064,0.000358451096,0.000348866066,0.000371022753,0.000373252581,0.000370136339,0.000157041367,0.000147901411,0.000152825491,0.000175649123,0.000174600924,0.000169972659,0.000188728652,0.000181003485,0.000180566354,0.000088386909,0.000087499479,0.000089040991,0.000100489319,0.000096865898,0.000098374109,0.000112663096,0.000108649421,0.000105811466,0.000067471643,0.000066607432,0.000067576316,0.000072568918,0.000072713216,0.000074946276,0.000079107115,0.000078990134,0.000078334478
18,0.000482838886,0.000482401662,0.000479789054,0.000489044914,0.000484978110,0.000484744726,0.000491749730,0.000488048678,0.000487052441,0.000320894421,0.000309180034,0.000318119001,0.000345954910,0.000360429882,0.000350575460,0.000374163052,0.000375191693,0.000371960830,0.000158770056,0.000148620073,0.000154160278,0.000176663626,0.000176564264,0.000172623023,0.000191910276,0.000184574719,0.000185120043,0.000089563853,0.000089045852,0.000089624670,0.000101073319,0.000098009635,0.000099771210,0.000113551012,0.000110216603,0.000106734370,0.000067989371,0.000067147866,0.000068138974,0.000073645142,0.000073193749,0.000075844145,0.000079811571,0.000080264263,0.000079066340
19,0.000482838886,0.000482401662,0.000481064408,0.000489044914,0.000484978110,0.000484744726,0.000491749730,0.000488048678,0.000487052441,0.000325996341,0.000313381794,0.000320121631,0.000349980657,0.000362032716,0.000354690513,0.000378647094,0.000378711019,0.000376014546,0.000160160341,0.000149228456,0.000155851478,0.000178429771,0.000178939622,0.000174742638,0.000194212011,0.000187647286,0.000187633263,0.000090254359,0.000090223186,0.000089890044,0.000101944566,0.000099189938,0.000101429336,0.000114396921,0.000111844251,0.000108160159,0.000068529434,0.000067809071,0.000068556800,0.000074463557,0.000073660039,0.000077228992,0.000080333575,0.000081140360,0.000080057076
20,0.000482838886,0.000482401662,0.000481358916,0.000489044914,0.000484978110,0.000484744726,0.000491749730,0.000488048678,0.000487550560,0.000329253101,0.000315904632,0.000324143431,0.000354146527,0.000364477814,0.000357099645,0.000381703023,0.000381122001,0.000378798362,0.000161558556,0.000150054601,0.000158214042,0.000180024695,0.000182057987,0.000176294279,0.000196043203,0.000190869293,0.000189523034,0.000091492418,0.000091283113,0.000090587246,0.000103438159,0.000099884081,0.000102786790,0.000115923886,0.000112350320,0.000109934187,0.000069184097,0.000068340258,0.000069134201,0.000074995321,0.000074025931,0.000077871773,0.000081333468,0.000081763098,0.000080951024
21,0.000482838886,0.000482401662,0.000481358916,0.000489044914,0.000484978110,0.000484744726,0.000491749730,0.000488048678,0.000487865802,0.000331460461,0.000318868647,0.000327136483,0.000356877655,0.000366028452,0.000358477174,0.000383880246,0.000383258750,0.000381927345,0.000163028155,0.000152507915,0.000158982989,0.000183127612,0.000185309726,0.000178768778,0.000198710959,0.000193578253,0.000193026193,0.000092524251,0.000091836618,0.000091672492,0.000104163877,0.000100643076,0.000103629273,0.000116602635,0.000113585292,0.000111371325,0.000070014055,0.000068999679,0.000069451004,0.000075429962,0.000074538821,0.000078340474,0.000082036453,0.000082581115,0.000081953137
22,0.000482838886,0.000482401662,0.000481358916,0.000489044914,0.000484978110,0.000484759482,0.000491749730,0.000488048678,0.000488679163,0.000333552686,0.000325188091,0.000327759779,0.000359288738,0.000367533075,0.000360475260,0.000384998450,0.000384677928,0.000385346405,0.000164634682,0.000153949965,0.000161972297,0.000185654793,0.000186743858,0.000181799240,0.000200959986,0.000196771250,0.000195419198,0.000093132533,0.000093086672,0.000093025010,0.000104853913,0.000102040674,0.000104086662,0.000118246306,0.000114399815,0.000112878521,0.000070543642,0.000069350621,0.000070768073,0.000076435765,0.000075325962,0.000078972649,0.000082667924,0.000082948918,0.000082648758
